grid_id,modelo_id,modelo,cenario,horizonte,ano_inicio,ano_fim,tr_anos,n_historico,n_futuro,q_historico_modelo_mm,q_futuro_modelo_mm,fator_mudanca_diaria,p24_ancorada_idf_mm,metodo_historico,metodo_futuro,erro_historico,erro_futuro,peso_rea,serie_observada_anual_usada
6931,137,EC-Earth3-Veg-LR,ssp245,2060_2100,2060,2100,25,65,41,55.260027,64.188299,1.161568,261.390752,gev_mle,gev_mle,,,,False
6931,137,EC-Earth3-Veg-LR,ssp245,2060_2100,2060,2100,50,65,41,63.243468,74.958921,1.185244,291.969521,gev_mle,gev_mle,,,,False
6931,137,EC-Earth3-Veg-LR,ssp370,2040_2059,2040,2059,25,65,20,55.260027,63.403108,1.147359,258.193262,gev_mle,gev_mle,,,,False
6931,137,EC-Earth3-Veg-LR,ssp370,2040_2059,2040,2059,50,65,20,63.243468,72.239832,1.142250,281.378503,gev_mle,gev_mle,,,,False
6931,137,EC-Earth3-Veg-LR,ssp370,2060_2100,2060,2100,25,65,41,55.260027,52.016548,0.941305,211.824348,gev_mle,gev_mle,,,,False
6931,137,EC-Earth3-Veg-LR,ssp370,2060_2100,2060,2100,50,65,41,63.243468,54.681229,0.864615,212.986687,gev_mle,gev_mle,,,,False
6931,137,EC-Earth3-Veg-LR,ssp585,2040_2059,2040,2059,25,65,20,55.260027,49.221150,0.890719,200.440791,gev_mle,gev_mle,,,,False
6931,137,EC-Earth3-Veg-LR,ssp585,2040_2059,2040,2059,50,65,20,63.243468,54.225436,0.857408,211.211344,gev_mle,gev_mle,,,,False
6931,137,EC-Earth3-Veg-LR,ssp585,2060_2100,2060,2100,25,65,41,55.260027,64.317860,1.163913,261.918360,gev_mle,gev_mle,,,,False
6931,137,EC-Earth3-Veg-LR,ssp585,2060_2100,2060,2100,50,65,41,63.243468,75.972845,1.201276,295.918815,gev_mle,gev_mle,,,,False
6931,150,EC-Earth3,ssp126,2040_2059,2040,2059,25,65,20,45.870048,42.299633,0.922162,207.516607,gev_mle,gev_mle,,,,False
6931,150,EC-Earth3,ssp126,2040_2059,2040,2059,50,65,20,48.707280,44.398044,0.911528,224.543157,gev_mle,gev_mle,,,,False
6931,150,EC-Earth3,ssp126,2060_2100,2060,2100,25,65,41,45.870048,55.147801,1.202262,270.548081,gev_mle,gev_mle,,,,False
6931,150,EC-Earth3,ssp126,2060_2100,2060,2100,50,65,41,48.707280,62.648592,1.286226,316.845326,gev_mle,gev_mle,,,,False
6931,150,EC-Earth3,ssp245,2040_2059,2040,2059,25,65,20,45.870048,42.186167,0.919689,206.959958,gev_mle,gev_mle,,,,False
6931,150,EC-Earth3,ssp245,2040_2059,2040,2059,50,65,20,48.707280,43.072660,0.884317,217.840028,gev_mle,gev_mle,,,,False
6931,150,EC-Earth3,ssp245,2060_2100,2060,2100,25,65,41,45.870048,57.688067,1.257641,283.010300,gev_mle,gev_mle,,,,False
6931,150,EC-Earth3,ssp245,2060_2100,2060,2100,50,65,41,48.707280,68.140801,1.398986,344.622178,gev_mle,gev_mle,,,,False
6931,150,EC-Earth3,ssp370,2040_2059,2040,2059,25,65,20,45.870048,66.808100,1.456465,327.752019,gev_mle,gev_mle,,,,False
6931,150,EC-Earth3,ssp370,2040_2059,2040,2059,50,65,20,48.707280,83.436472,1.713019,421.980052,gev_mle,gev_mle,,,,False
6931,150,EC-Earth3,ssp370,2060_2100,2060,2100,25,65,41,45.870048,48.308812,1.053167,236.996871,gev_mle,gev_mle,,,,False
6931,150,EC-Earth3,ssp370,2060_2100,2060,2100,50,65,41,48.707280,51.960303,1.066787,262.789291,gev_mle,gev_mle,,,,False
6931,150,EC-Earth3,ssp585,2040_2059,2040,2059,25,65,20,45.870048,37.253633,0.812156,182.761572,gev_mle,gev_mle,,,,False
6931,150,EC-Earth3,ssp585,2040_2059,2040,2059,50,65,20,48.707280,38.264518,0.785602,193.522844,gev_mle,gev_mle,,,,False
6931,150,EC-Earth3,ssp585,2060_2100,2060,2100,25,65,41,45.870048,50.750630,1.106400,248.976119,gev_mle,gev_mle,,,,False
6931,150,EC-Earth3,ssp585,2060_2100,2060,2100,50,65,41,48.707280,56.818556,1.166531,287.359912,gev_mle,gev_mle,,,,False
6931,163,FGOALS-g3,ssp126,2040_2059,2040,2059,25,65,20,35.184395,41.421280,1.177263,264.922514,gev_mle,gev_mle,,,,False
6931,163,FGOALS-g3,ssp126,2040_2059,2040,2059,50,65,20,36.574596,45.125287,1.233788,303.927713,gev_mle,gev_mle,,,,False
6931,163,FGOALS-g3,ssp126,2060_2100,2060,2100,25,65,41,35.184395,41.934845,1.191859,268.207180,gev_mle,gev_mle,,,,False
6931,163,FGOALS-g3,ssp126,2060_2100,2060,2100,50,65,41,36.574596,47.492253,1.298504,319.869697,gev_mle,gev_mle,,,,False
6931,163,FGOALS-g3,ssp245,2040_2059,2040,2059,25,65,20,35.184395,39.648570,1.126879,253.584604,gev_mle,gev_mle,,,,False
6931,163,FGOALS-g3,ssp245,2040_2059,2040,2059,50,65,20,36.574596,44.354229,1.212706,298.734482,gev_mle,gev_mle,,,,False
6931,163,FGOALS-g3,ssp245,2060_2100,2060,2100,25,65,41,35.184395,45.338954,1.288610,289.979202,gev_mle,gev_mle,,,,False
6931,163,FGOALS-g3,ssp245,2060_2100,2060,2100,50,65,41,36.574596,52.560391,1.437074,354.004606,gev_mle,gev_mle,,,,False
6931,163,FGOALS-g3,ssp370,2040_2059,2040,2059,25,65,20,35.184395,37.498171,1.065761,239.831070,gev_mle,gev_mle,,,,False
6931,163,FGOALS-g3,ssp370,2040_2059,2040,2059,50,65,20,36.574596,39.671520,1.084674,267.195513,gev_mle,gev_mle,,,,False
6931,163,FGOALS-g3,ssp370,2060_2100,2060,2100,25,65,41,35.184395,40.587472,1.153565,259.589640,gev_mle,gev_mle,,,,False
6931,163,FGOALS-g3,ssp370,2060_2100,2060,2100,50,65,41,36.574596,45.478792,1.243453,306.308642,gev_mle,gev_mle,,,,False
6931,163,FGOALS-g3,ssp585,2040_2059,2040,2059,25,65,20,35.184395,51.532025,1.464627,329.588891,gev_mle,gev_mle,,,,False
6931,163,FGOALS-g3,ssp585,2040_2059,2040,2059,50,65,20,36.574596,68.833470,1.882002,463.607007,gev_mle,gev_mle,,,,False
6931,163,FGOALS-g3,ssp585,2060_2100,2060,2100,25,65,41,35.184395,38.504124,1.094352,246.264947,gev_mle,gev_mle,,,,False
6931,163,FGOALS-g3,ssp585,2060_2100,2060,2100,50,65,41,36.574596,42.805559,1.170363,288.303887,gev_mle,gev_mle,,,,False
