grid_id,modelo_id,cenario_id,cenario,ano,prec_max
18355,95,3,ssp245,2066,32.004650
18355,95,3,ssp245,2067,27.804152
18355,95,3,ssp245,2068,33.818226
18355,95,3,ssp245,2069,26.946354
18355,95,3,ssp245,2070,45.289730
18355,95,3,ssp245,2071,38.758010
18355,95,3,ssp245,2072,29.882687
18355,95,3,ssp245,2073,22.978004
18355,95,3,ssp245,2074,33.197945
18355,95,3,ssp245,2075,49.607910
18355,95,3,ssp245,2076,36.630398
18355,95,3,ssp245,2077,25.851208
18355,95,3,ssp245,2078,28.812151
18355,95,3,ssp245,2079,26.421783
18355,95,3,ssp245,2080,28.176872
18355,95,3,ssp245,2081,32.217710
18355,95,3,ssp245,2082,39.533276
18355,95,3,ssp245,2083,20.770857
18355,95,3,ssp245,2084,24.031216
18355,95,3,ssp245,2085,34.300705
18355,95,3,ssp245,2086,30.440050
18355,95,3,ssp245,2087,27.805216
18355,95,3,ssp245,2088,30.560564
18355,95,3,ssp245,2089,34.043518
18355,95,3,ssp245,2090,34.167202
18355,95,3,ssp245,2091,25.484516
18355,95,3,ssp245,2092,37.912800
18355,95,3,ssp245,2093,26.265635
18355,95,3,ssp245,2094,24.410250
18355,95,3,ssp245,2095,34.424206
18355,95,3,ssp245,2096,31.723430
18355,95,3,ssp245,2097,27.097836
18355,95,3,ssp245,2098,57.037830
18355,95,3,ssp245,2099,40.101387
18355,95,3,ssp245,2100,25.090675
18355,95,4,ssp370,2015,25.754110
18355,95,4,ssp370,2016,36.981560
18355,95,4,ssp370,2017,37.008873
18355,95,4,ssp370,2018,30.633110
18355,95,4,ssp370,2019,36.742080
18355,95,4,ssp370,2020,35.884320
18355,95,4,ssp370,2021,30.544338
18355,95,4,ssp370,2022,36.192005
18355,95,4,ssp370,2023,28.329159
18355,95,4,ssp370,2024,47.041084
18355,95,4,ssp370,2025,25.353489
18355,95,4,ssp370,2026,39.210278
18355,95,4,ssp370,2027,29.922218
18355,95,4,ssp370,2028,34.504383
18355,95,4,ssp370,2029,23.984959
18355,95,4,ssp370,2030,31.086380
18355,95,4,ssp370,2031,26.705465
18355,95,4,ssp370,2032,29.635899
18355,95,4,ssp370,2033,27.397629
18355,95,4,ssp370,2034,32.637650
18355,95,4,ssp370,2035,26.915600
18355,95,4,ssp370,2036,33.926270
18355,95,4,ssp370,2037,57.269222
18355,95,4,ssp370,2038,59.356728
18355,95,4,ssp370,2039,22.559353
18355,95,4,ssp370,2040,26.676367
18355,95,4,ssp370,2041,34.738953
18355,95,4,ssp370,2042,51.418163
18355,95,4,ssp370,2043,29.573334
18355,95,4,ssp370,2044,36.114758
18355,95,4,ssp370,2045,32.553875
18355,95,4,ssp370,2046,31.724730
18355,95,4,ssp370,2047,21.538960
18355,95,4,ssp370,2048,38.635136
18355,95,4,ssp370,2049,51.205727
18355,95,4,ssp370,2050,26.401840
18355,95,4,ssp370,2051,31.089037
18355,95,4,ssp370,2052,34.003487
18355,95,4,ssp370,2053,24.312767
18355,95,4,ssp370,2054,30.339548
18355,95,4,ssp370,2055,29.553846
18355,95,4,ssp370,2056,41.273094
