"id_link","node_in","node_out","classe","origem","comp_m","cota_in","cota_out","decl_pct","diam_m","obs","bacia","ID_LINK_ORIG","ID_LINK_SEG","META_ID","META_ORIG","SELECAO_REC","COMP_REC_M","PERC_LINK_REC","X_IN_REC","Y_IN_REC","X_OUT_REC","Y_OUT_REC"
"L_B_0010","N_B_0013","N_B_0014","COLETOR","ColetorB1_F007",702.483361192465,107.858283996582,58.9167938232422,6.96692517958884,0.6,"DECLIVE_MDE","B","L_B_0010","L_B_0010_META_03_01","META_03","META_01;META_03","CLIP_EXATO_POLIGONO_AUDITORIA",16.403307098292,2.335045640149,288508.450622032,9195486.73190495,288498.858085583,9195473.42582633
"L_B_0011","N_B_0015","N_B_0016","COLETOR","ColetorB1_F008",667.576351053258,105.375877380371,55.190128326416,7.51760438709001,0.6,"DECLIVE_MDE","B","L_B_0011","L_B_0011_META_03_01","META_03","META_01;META_03","CLIP_EXATO_POLIGONO_AUDITORIA",667.576351053166,100,288783.12362351,9196094.45927187,288442.29235529,9195528.21646639
"L_B_0012","N_B_0017","N_B_0018","COLETOR","ColetorB1_F009",595.461006716964,100.972900390625,52.5598030090332,8.13035561279055,0.6,"DECLIVE_MDE","B","L_B_0012","L_B_0012_META_03_01","META_03","META_01;META_03","CLIP_EXATO_POLIGONO_AUDITORIA",11.3144145469423,1.90011006922595,288395.98790659,9195588.81777308,288387.9874074,9195580.81727377
"L_B_0015","N_B_0021","N_B_0022","COLETOR","ColetorB1_F010",180.710757210456,57.6380882263184,49.8972396850586,4.2835571389061,0.6,"DECLIVE_MDE","B","L_B_0015","L_B_0015_META_03_01","META_03","META_01;META_03","CLIP_EXATO_POLIGONO_AUDITORIA",14.8647763369247,8.22572854343326,288346.030374267,9195639.02870397,288336.522805931,9195627.60327052
"L_B_0022","N_B_0033","N_B_0034","COLETOR","ColetorB2_F001",314.17755033791,51.9670295715332,36.7199287414551,4.85302047001108,0.6,"DECLIVE_MDE","B","L_B_0022","L_B_0022_META_02_01","META_02","META_02","CLIP_EXATO_POLIGONO_AUDITORIA",7.14629770503679,2.27460482053721,288128.837008583,9195396.58049355,288123.457522215,9195391.87616604
"L_B_0022","N_B_0033","N_B_0034","COLETOR","ColetorB2_F001",314.17755033791,51.9670295715332,36.7199287414551,4.85302047001108,0.6,"DECLIVE_MDE","B","L_B_0022","L_B_0022_META_03_01","META_03","META_01;META_03","CLIP_EXATO_POLIGONO_AUDITORIA",2.73278329792705,0.869821314408344,288368.182043628,9195588.37243194,288366.097570274,9195586.60520943
"L_B_0023","N_B_0035","N_B_0036","COLETOR","ColetorB2_F002",284.551329207168,54.9731521606445,37.277458190918,6.21880559090384,0.6,"DECLIVE_MDE","B","L_B_0023","L_B_0023_META_02_01","META_02","META_02","CLIP_EXATO_POLIGONO_AUDITORIA",284.551329207001,100,288438.349683962,9195520.74479668,288235.930173479,9195320.8363019
"L_B_0024","N_B_0037","N_B_0038","COLETOR","ColetorB2_F003",267.200309227331,60.7061347961426,38.5033721923828,8.30940752574873,0.6,"DECLIVE_MDE","B","L_B_0024","L_B_0024_META_03_01","META_03","META_01;META_03","CLIP_EXATO_POLIGONO_AUDITORIA",0.619324065357747,0.231782690352506,288522.987411976,9195445.81727879,288522.547728773,9195445.38111256
"L_B_0025","N_B_0039","N_B_0040","COLETOR","ColetorB2_F004",337.171277653513,48.6414108276367,32.9324913024902,4.65903253517621,0.6,"DECLIVE_MDE","B","L_B_0025","L_B_0025_META_02_01","META_02","META_02","CLIP_EXATO_POLIGONO_AUDITORIA",11.2093025504983,3.32451287918388,288022.021857955,9195462.45257014,288012.987416048,9195455.81726132
"L_B_0029","N_B_0008","N_B_0011","TRONCO","TroncoB1_F001",602.886752523159,109.521759033203,62.8238906860352,7.74571147097384,0.8,"DECLIVE_MDE","B","L_B_0029","L_B_0029_META_03_01","META_03","META_01;META_03","CLIP_EXATO_POLIGONO_AUDITORIA",11.5978884330713,1.92372587132416,288565.85365192,9195417.79346199,288556.884832105,9195425.1467801
"L_B_0030","N_B_0011","N_B_0014","TRONCO","TroncoB1_F001",75.5054704685953,62.8238906860352,58.9167938232422,5.17458779946021,0.8,"DECLIVE_MDE","B","L_B_0030","L_B_0030_META_03_01","META_03","META_01;META_03","CLIP_EXATO_POLIGONO_AUDITORIA",75.5054704686726,100,288556.884832105,9195425.1467801,288498.858085583,9195473.42582633
"L_B_0031","N_B_0014","N_B_0016","TRONCO","TroncoB1_F001",78.7508481336427,58.9167938232422,55.190128326416,4.73222268095691,0.8,"DECLIVE_MDE","B","L_B_0031","L_B_0031_META_03_01","META_03","META_01;META_03","CLIP_EXATO_POLIGONO_AUDITORIA",78.7508481335591,100,288498.858085583,9195473.42582633,288442.29235529,9195528.21646639
"L_B_0032","N_B_0016","N_B_0018","TRONCO","TroncoB1_F001",75.6033884503842,55.190128326416,52.5598030090332,3.47911035642139,0.8,"DECLIVE_MDE","B","L_B_0032","L_B_0032_META_03_01","META_03","META_01;META_03","CLIP_EXATO_POLIGONO_AUDITORIA",75.6033884503939,100,288442.29235529,9195528.21646639,288387.9874074,9195580.81727377
"L_B_0033","N_B_0018","N_B_0022","TRONCO","TroncoB1_F001",69.5523881441013,52.5598030090332,49.8972396850586,3.82814076557402,0.8,"DECLIVE_MDE","B","L_B_0033","L_B_0033_META_03_01","META_03","META_01;META_03","CLIP_EXATO_POLIGONO_AUDITORIA",69.5523881441443,100,288387.9874074,9195580.81727377,288336.522805931,9195627.60327052
"L_B_0034","N_B_0022","N_B_0042","TRONCO","TroncoB1_F001",154.255003498087,49.8972396850586,42.7981109619141,4.60220321036948,0.8,"DECLIVE_MDE","B","L_B_0034","L_B_0034_META_03_01","META_03","META_01;META_03","CLIP_EXATO_POLIGONO_AUDITORIA",154.25500349815,100,288336.522805931,9195627.60327052,288229.738361184,9195738.90530384
"L_B_0035","N_B_0042","N_B_0043","TRONCO","TroncoB1_F001",58.1298097955484,42.7981109619141,40.7842140197754,3.46448224967854,0.8,"DECLIVE_MDE","B","L_B_0035","L_B_0035_META_03_01","META_03","META_01;META_03","CLIP_EXATO_POLIGONO_AUDITORIA",58.1298097962091,100,288229.738361184,9195738.90530384,288188.435056353,9195708.16242292
"L_B_0036","N_B_0038","N_B_0036","TRONCO","TroncoB2_F001",114.494723354845,38.5033721923828,37.277458190918,1.07071659334506,0.8,"DECLIVE_MDE","B","L_B_0036","L_B_0036_META_02_01","META_02","META_02","CLIP_EXATO_POLIGONO_AUDITORIA",10.0125901239141,8.74502320330017,288244.346466724,9195315.41246848,288235.930173479,9195320.8363019
"L_B_0037","N_B_0036","N_B_0034","TRONCO","TroncoB2_F001",133.055696733161,37.277458190918,36.7199287414551,0.419019600927722,0.8,"DECLIVE_MDE","B","L_B_0037","L_B_0037_META_02_01","META_02","META_02","CLIP_EXATO_POLIGONO_AUDITORIA",133.055696733292,100,288235.930173479,9195320.8363019,288123.457522215,9195391.87616604
"L_B_0038","N_B_0034","N_B_0040","TRONCO","TroncoB2_F001",127.724388268308,36.7199287414551,32.9324913024902,2.96532047662554,0.8,"DECLIVE_MDE","B","L_B_0038","L_B_0038_META_02_01","META_02","META_02","CLIP_EXATO_POLIGONO_AUDITORIA",127.724388268259,100,288123.457522215,9195391.87616604,288012.987416048,9195455.81726132
"L_B_0039","N_B_0040","N_B_0044","TRONCO","TroncoB2_F001",39.4535749507214,32.9324913024902,31.0937232971191,4.66058654423018,0.8,"DECLIVE_MDE","B","L_B_0039","L_B_0039_META_02_01","META_02","META_02","CLIP_EXATO_POLIGONO_AUDITORIA",39.4535749510071,100,288012.987416048,9195455.81726132,287974.845323619,9195458.50109026
"L_B_0044","N_B_0032","N_B_0042","TRONCO","TroncoB3_F001",61.2034472538172,47.6506271362305,42.7981109619141,7.92850140318487,0.8,"DECLIVE_MDE","B","L_B_0044","L_B_0044_META_03_01","META_03","META_01;META_03","CLIP_EXATO_POLIGONO_AUDITORIA",4.63928953095937,7.58011147917259,288226.553628104,9195742.27880093,288229.738361184,9195738.90530384
