BACIA,ID_LINK,NO_IN,NO_OUT,CLASSE,D_ATUAL_M,DPROP_M,DREQ25,DREQ50,DNOM25,DNOM50,COMPR_M,COTA_IN,COTA_OUT,DECL_PCT,Q25_CMS,Q50_CMS,V25_MPS,V50_MPS,STATUS_SW,CRITICO,DIM_STAT,SELEC_META,META_ID,FONTE_SEL,OVERLAP_M,META_HA,X_IN_M,Y_IN_M,X_OUT_M,Y_OUT_M
A,L_A_0105,N_A_0159,N_A_0125,COLETOR,0.6,0.6,,,,,2.373400466646464,42.04075241088867,42.04075241088867,0.0,1.918,2.134,6.78,7.55,AUDITAR_COTA_SENTIDO,1,PRELIM_SWMM,SIM,META_04,POLIGONO,2.3734004666464643,1.73233097011453,288077.50979526783,9196183.492415486,288077.9874160455,9196185.817261323
A,L_A_0107,N_A_0161,N_A_0127,COLETOR,0.6,0.8,0.620482847137574,0.652005164090775,0.8,0.8,265.39056756100257,46.579673767089844,45.812713623046875,0.288992992890252,0.361,0.412,1.28,1.46,CAPACIDADE_PRELIM,1,PRELIM_SWMM,SIM,META_04,POLIGONO,9.690032055995351,1.73233097011453,288100.5088507311,9195918.199173667,288147.9189573281,9196179.32066865
A,L_A_0108,N_A_0129,N_A_0162,COLETOR,0.6,1.2,0.96235897012618,1.025259452668804,1.0,1.2,312.2287572375513,49.53526306152344,49.256107330322266,0.089407437569494,0.647,0.766,2.36,2.75,CAPACIDADE_PRELIM,1,PRELIM_SWMM,SIM,META_04,POLIGONO,9.810155704371809,1.73233097011453,288221.0685648662,9196175.105314422,288163.035063147,9195868.317261323
A,L_A_0109,N_A_0163,N_A_0132,COLETOR,0.6,0.6,0.520519753633174,0.547765254744648,0.6,0.6,246.0492986614718,54.474021911621094,51.70409393310547,1.125761379359445,0.446,0.511,1.76,1.81,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,9.458159402582158,1.73233097011453,288246.34600190463,9195928.317261323,288287.9874160473,9196170.817261323
A,L_A_0110,N_A_0164,N_A_0136,COLETOR,0.6,0.6,0.584670055382165,0.598233166750031,0.6,0.6,234.553429829649,56.054256439208984,55.70246505737305,0.149983473740476,0.222,0.236,1.76,1.74,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,5.671762130026018,1.73233097011453,288326.6819548251,9195930.817261325,288362.16270769655,9196162.671585461
A,L_A_0111,N_A_0136,N_A_0135,COLETOR,0.6,0.3,0.242722789948672,0.23280714265231,0.3,0.3,5.243267147463402,55.70246505737305,53.67177200317383,38.72953631938498,0.342,0.306,1.71,1.56,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,5.243267147463402,1.73233097011453,288362.16270769655,9196162.671585461,288363.1319836418,9196167.824483143
A,L_A_0112,N_A_0134,N_A_0135,COLETOR,0.6,0.3,0.225945091204408,0.227640434185756,0.3,0.3,3.045974712913609,54.98404312133789,53.67177200317383,43.082140918655796,0.298,0.304,1.68,1.71,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,3.045974712913609,1.73233097011453,288363.7705570142,9196170.802768892,288363.1319836418,9196167.824483143
A,L_A_0114,N_A_0167,N_A_0139,COLETOR,0.6,0.4,0.380861218525546,0.39958390104683,0.4,0.4,158.34448518582582,62.374935150146484,58.254493713378906,2.602200785162816,0.293,0.333,2.43,2.48,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,7.094834938418108,1.73233097011453,288409.462057206,9196003.317261323,288432.98741604766,9196159.90440473
A,L_A_0116,N_A_0170,N_A_0141,COLETOR,0.6,0.4,0.287137350523562,0.300280100876141,0.3,0.4,85.49724167623945,73.23297882080078,70.90380096435547,2.724272515440243,0.142,0.16,1.91,1.97,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,8.757512923686383,1.73233097011453,288490.2783208771,9196073.317261323,288504.5094357352,9196157.621790882
A,L_A_0117,N_A_0171,N_A_0143,COLETOR,0.6,0.4,0.305474072210843,0.32009115735109,0.4,0.4,83.06588504059255,85.41775512695312,84.38807678222656,1.239592335919109,0.113,0.128,1.52,1.56,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,9.656897888545323,1.73233097011453,288564.89915038634,9196073.317261323,288577.93060500425,9196155.35458483
A,L_A_0119,N_A_0044,N_A_0174,COLETOR,0.6,0.5,0.388260514445101,0.40374918694746,0.4,0.5,46.324798006313344,96.90801239013672,95.08096313476562,3.943998320558453,0.382,0.424,3.82,3.92,VELOCIDADE_ALTA,1,PRELIM_SWMM,SIM,META_04,POLIGONO,9.262309199793872,1.73233097011453,288654.519206419,9196153.939375075,288632.25194828724,9196113.317261323
A,L_A_0146,N_A_0028,N_A_0044,TRONCO,0.8,0.6,0.545887775367318,0.566882274932062,0.6,0.6,70.0026595952465,102.05509185791016,96.90801239013672,7.352691308492725,1.294,1.431,7.77,7.99,VELOCIDADE_ALTA,1,PRELIM_SWMM,SIM,META_04,POLIGONO,8.291136436266745,1.73233097011453,288720.30405752425,9196130.007686554,288654.519206419,9196153.939375075
A,L_A_0147,N_A_0044,N_A_0143,TRONCO,0.8,0.5,0.416871498338945,0.434690627842128,0.5,0.5,76.60167547331872,96.90801239013672,84.38807678222656,16.344205959660766,0.94,1.051,8.36,8.61,VELOCIDADE_ALTA,1,PRELIM_SWMM,SIM,META_04,POLIGONO,76.60167547331872,1.73233097011453,288654.519206419,9196153.939375075,288577.93060500425,9196155.35458483
A,L_A_0148,N_A_0143,N_A_0141,TRONCO,0.8,0.5,0.394021270065811,0.41195483160276,0.4,0.5,73.48066620300405,84.38807678222656,70.90380096435547,18.35078057215522,0.857,0.965,7.88,8.13,VELOCIDADE_ALTA,1,PRELIM_SWMM,SIM,META_04,POLIGONO,73.48066620300405,1.73233097011453,288577.93060500425,9196155.35458483,288504.5094357352,9196157.621790882
A,L_A_0149,N_A_0141,N_A_0138,TRONCO,0.8,0.5,0.409236159377703,0.428709103242936,0.5,0.5,71.33987369823515,70.90380096435547,58.254493713378906,17.731048003368542,0.932,1.055,5.69,5.73,VELOCIDADE_ALTA,1,PRELIM_SWMM,SIM,META_04,POLIGONO,71.33987369823515,1.73233097011453,288504.5094357352,9196157.621790882,288433.3282477369,9196162.350347856
A,L_A_0150,N_A_0138,N_A_0135,TRONCO,0.8,0.6,0.56636448052297,0.572166150774472,0.6,0.6,70.40938609338839,58.254493713378906,53.67177200317383,6.508680112800197,1.343,1.38,4.0,3.99,VELOCIDADE_ALTA,1,PRELIM_SWMM,SIM,META_04,POLIGONO,70.40938609338839,1.73233097011453,288433.3282477369,9196162.350347856,288363.1319836418,9196167.824483143
